"priorindex","index","postindex","episode","Provider","starrating","tracklab","surgeryregistry","nursingregistry","Total Case Mix Index-Sum of Relative Weights","Disproportionate Share Hospital Patient percent","AHA: NETWORK","AHA: MEDICAL HOME PROGRAM YES/NO","AHA: DISCHARGES, MEDICARE INPAT,","AHA: DISCHARGES, MEDICAID INPAT,","AHA: ADJUSTED ADMISSIONS","AHA: PERSONNEL, FTE, MD & DD","AHA: TOTAL PRIVILEDGE PHYSICIAN TOT PRI CAR","AHA: TOTAL PRIVILEDGE PHYSICIAN TOTAL","ownership","hospital","hrr","maadvantage","avgagehrr","avghcchrr","pctmalehrr","pctblackhrr","pcthispanichrr","pctmdcaidhrr","pctbenesusip","pctbenesusnf","pctbenesuhh","pctbenesuop","pctbenesuasc","Acute Care Hospital Beds per 1,000 Residents (2012)","FTE Hospital Employees per 1,000 Residents (2012)","Total Physicians per 100,000 Residents (2011)","Primary Care Physicians per 100,000 Residents (2011)","Total Specialists per 100,000 Residents (2011)","Medical Specialists per 100,000 Residents (2011)","Surgeons per 100,000 Residents (2011)","mdadjadmit","bundledpayment","Rank for Variable dshpct","Rank for Variable cmi","Rank for Variable mdadjadmit","mdschool","bedsize","Bed Count: Certified","urban","jchao","teaching"
566,9016,8507,18089,100028,4,Yes,Y,Y,1.5813,0.19465,,,3966,965,17668,23,,,public,Parrish Medical Center,130,41.13,76,1.05,44.78,6.04,6.26,9.46,18.58,5.84,13.05,56.29,15.37,2.013961627497,14.02018296882,178.47190163,62.035084946,114.09560203,43.2672122,36.643802814,0.0013017885,,1,2,2,no affiliation,medium,210,1,1,0
671,9192,8419,20938,100029,1,Yes,N,N,1.4514,0.55091,,,5822,3180,22218,9,,,for-profit,Florida Medical Center - A Campus of North Shore,127,66.43,76,1.25,41.75,8.45,44.36,38.93,19.13,5.17,22.94,56.08,9.4,2.407366508123,13.25445406267,202.36641528,72.992514631,126.94869111,48.406064629,37.176364572,0.000405077,,3,1,1,no affiliation,large,816,1,1,0
533,10063,9533,20130,100030,3,No,Y,Y,1.4335,0.33847,1,0,5622,2352,22057,28,72,478,public,Health Central Hospital,130,41.13,76,1.05,44.78,6.04,6.26,9.46,18.58,5.84,13.05,56.29,15.37,2.013961627497,14.02018296882,178.47190163,62.035084946,114.09560203,43.2672122,36.643802814,0.0012694383,0,2,1,2,no affiliation,medium,171,1,1,0
840,10817,11473,23130,100032,2,Yes,N,Y,1.8224,0.40094,,,8112,4430,30959,12,,,not-for-profit,Bayfront Health St. Petersburg,139,48.45,76,1.09,44.21,6.67,2.74,14.1,19.44,7.91,14.62,49.46,15.51,3.087530080462,15.4769957019,252.25693644,91.962998204,158.44423764,63.038102159,46.033561305,0.0003876094,,3,3,1,limited/graduate,large,480,1,1,1
753,12178,10148,23078,100034,3,Yes,Y,N,1.84641,0.45176,1,0,12098,2850,39325,101,224,616,for-profit,Mount Sinai Medical Center,127,66.43,76,1.25,41.75,8.45,44.36,38.93,19.13,5.17,22.94,56.08,9.4,2.407366508123,13.25445406267,202.36641528,72.992514631,126.94869111,48.406064629,37.176364572,0.0025683408,0,3,3,3,major teaching,large,672,1,1,1
654,11384,10687,22724,100035,2,No,N,N,1.6507,0.3388,,,7397,4040,28229,8,,,for-profit,Manatee Memorial Hospital,115,36.82,76,0.99,44.83,3.16,2.75,7.84,17.4,6.16,13.1,50.22,20.13,1.952427040495,9.400421212078,167.80536733,51.833959574,113.59032911,40.693215237,37.63029535,0.0002833965,,2,2,1,limited/graduate,medium,319,1,1,1
832,11713,10541,23084,100038,3,Yes,Y,Y,1.7753,0.46128,1,1,11633,8838,61874,174,481,1454,public,Memorial Regional Hospital,127,66.43,76,1.25,41.75,8.45,44.36,38.93,19.13,5.17,22.94,56.08,9.4,2.407366508123,13.25445406267,202.36641528,72.992514631,126.94869111,48.406064629,37.176364572,0.0028121667,0,3,3,3,limited/graduate,large,993,1,1,1
624,12483,9705,22813,100039,2,Yes,N,Y,2.0687,0.556,0,0,7046,9160,41848,6,220,804,public,Broward Health Medical Center,118,43.97,77,1.08,43.99,5.67,5.09,8.95,18.16,5.93,15.75,60.69,14.73,1.857685699128,9.941200859961,212.70744202,67.531492832,142.54998992,54.517433129,46.13692531,0.000143376,0,3,3,1,limited/graduate,large,716,1,1,1
718,11735,9277,21730,100040,3,Yes,N,Y,1.82451,0.20576,1,0,14468,2797,47119,14,157,828,not-for-profit,St. Vincent's Medical Center Riverside,123,29.36,75,1,44.42,10.64,2.5,10.65,18.54,6,11.32,66.12,13.58,2.261895867356,13.87211512472,210.44576553,70.924643538,137.0976521,59.344750728,39.422964349,0.0002971201,0,1,3,1,no affiliation,large,528,1,1,0
619,8284,10254,19157,100043,4,Yes,N,N,1.302,0.16367,1,1,3869,1208,12659,57,179,569,not-for-profit,Mease Dunedin Hospital,116,49.92,77,1.1,43.06,1.86,2.57,9.49,18.9,7.77,16.17,48.44,17.04,1.843638099919,8.843052709126,185.33317907,65.114489166,117.61818436,48.08974846,35.144798083,0.0045027253,0,0,0,3,no affiliation,medium,120,1,1,0
655,10340,9914,20910,100044,2,Yes,N,Y,1.57021,0.12249,0,0,13429,3094,45858,100,95,516,not-for-profit,Martin Health System,118,43.97,77,1.08,43.99,5.67,5.09,8.95,18.16,5.93,15.75,60.69,14.73,1.857685699128,9.941200859961,212.70744202,67.531492832,142.54998992,54.517433129,46.13692531,0.0021806446,0,0,2,3,no affiliation,medium,344,1,1,0
587,9096,9437,19120,100045,3,Yes,N,Y,1.4342,0.27222,1,0,5001,1290,17579,19,,,not-for-profit,Florida Hospital DeLand,130,41.13,76,1.05,44.78,6.04,6.26,9.46,18.58,5.84,13.05,56.29,15.37,2.013961627497,14.02018296882,178.47190163,62.035084946,114.09560203,43.2672122,36.643802814,0.0010808351,,2,1,2,limited/graduate,medium,156,1,1,1
611,10490,8615,19715,100046,3,Yes,N,N,1.5807,0.18957,0,0,5598,1581,14973,9,43,288,not-for-profit,Florida Hospital Zephyrhills,141,50.63,75,1.08,43.81,7.32,10.91,13.6,18.87,6.56,14.93,43.95,13.31,1.953364622605,11.57508273865,196.80894437,67.712306912,126.67751896,52.531840345,36.35640914,0.0006010819,0,1,2,2,no affiliation,medium,139,1,1,0
578,10087,9267,19935,100047,2,No,N,N,1.4611,0.15018,0,0,3302,343,7637,5,,,for-profit,Bayfront Health Punta Gorda,119,30.12,75,0.95,46.93,2.28,4.42,7.13,16.4,4.83,11.95,52.83,21.81,1.773822325005,11.12198957452,175.39916467,56.018857164,116.88910312,42.334678005,39.991594643,0.0006547073,,0,1,2,no affiliation,medium,208,1,1,0
443,5744,6645,12832,100048,3,Yes,N,N,0.9338,0.24787,0,0,362,61,2390,0,5,77,not-for-profit,Jay Hospital,134,23.86,75,0.99,44.94,7.37,1.5,9.69,18.38,5.73,11.51,72.05,16.12,2.525021304667,12.15900103969,212.10058512,71.653057535,138.02246356,47.341649615,50.720172158,0,1,1,0,0,no affiliation,small,55,1,0,0
528,7342,7096,19074,100049,2,No,N,N,1.4191,0.25168,,,2236,684,11070,8,,,for-profit,Highlands Regional Medical Center,130,41.13,76,1.05,44.78,6.04,6.26,9.46,18.58,5.84,13.05,56.29,15.37,2.013961627497,14.02018296882,178.47190163,62.035084946,114.09560203,43.2672122,36.643802814,0.0007226739,,1,1,2,no affiliation,medium,126,0,1,0
540,8582,10441,20393,100050,2,Yes,N,N,1.3528,0.527,,,4780,2171,19198,8,,,not-for-profit,Palm Springs General Hospital,127,66.43,76,1.25,41.75,8.45,44.36,38.93,19.13,5.17,22.94,56.08,9.4,2.407366508123,13.25445406267,202.36641528,72.992514631,126.94869111,48.406064629,37.176364572,0.0004167101,,3,1,1,no affiliation,medium,247,1,1,0
670,9643,8543,18855,100051,2,Yes,N,Y,1.4284,0.20564,0,0,4317,1267,17907,5,93,330,public,South Lake Hospital,130,41.13,76,1.05,44.78,6.04,6.26,9.46,18.58,5.84,13.05,56.29,15.37,2.013961627497,14.02018296882,178.47190163,62.035084946,114.09560203,43.2672122,36.643802814,0.0002792204,1,1,1,1,no affiliation,medium,122,1,1,0
670,10241,10196,21107,100052,2,Yes,N,Y,1.4894,0.28695,1,0,9715,2750,29568,15,79,213,not-for-profit,Winter Haven Hospital,130,41.13,76,1.05,44.78,6.04,6.26,9.46,18.58,5.84,13.05,56.29,15.37,2.013961627497,14.02018296882,178.47190163,62.035084946,114.09560203,43.2672122,36.643802814,0.0005073052,0,2,1,1,no affiliation,large,529,1,1,0
651,7755,10153,18559,100053,3,Yes,N,N,1.3135,0.75678,1,0,5938,3479,18850,6,,,for-profit,Hialeah Hospital,127,66.43,76,1.25,41.75,8.45,44.36,38.93,19.13,5.17,22.94,56.08,9.4,2.407366508123,13.25445406267,202.36641528,72.992514631,126.94869111,48.406064629,37.176364572,0.0003183024,,3,0,1,no affiliation,medium,378,1,1,0
516,9560,6698,16772,100054,4,Yes,N,N,1.4807,0.0998854129,0,0,1330,106,4972,3,,,for-profit,Twin Cities Hospital,134,23.86,75,0.99,44.94,7.37,1.5,9.69,18.38,5.73,11.51,72.05,16.12,2.525021304667,12.15900103969,212.10058512,71.653057535,138.02246356,47.341649615,50.720172158,0.0006033789,,0,1,2,no affiliation,small,65,1,1,0
635,9528,10129,20292,100055,3,Yes,N,N,1.544,0.18067,0,0,1727,701,7155,12,,,not-for-profit,Florida Hospital North Pinellas,116,49.92,77,1.1,43.06,1.86,2.57,9.49,18.9,7.77,16.17,48.44,17.04,1.843638099919,8.843052709126,185.33317907,65.114489166,117.61818436,48.08974846,35.144798083,0.0016771488,,1,2,2,no affiliation,medium,168,1,1,0
628,9864,8400,18892,100057,3,Yes,Y,Y,1.53821,0.19849,1,0,9177,2232,27551,0,,,not-for-profit,Florida Hospital Waterman,130,41.13,76,1.05,44.78,6.04,6.26,9.46,18.58,5.84,13.05,56.29,15.37,2.013961627497,14.02018296882,178.47190163,62.035084946,114.09560203,43.2672122,36.643802814,0,0,1,2,0,limited/graduate,medium,269,1,1,1
773,11126,9064,20963,100062,2,Yes,Y,Y,1.73731,0.20985,0,0,8856,4836,33795,12,,,public,Munroe Regional Medical Center,129,36.76,75,1.01,46.29,3.02,2.55,6.45,17.22,5.33,11.11,43.02,19.3,1.598222928485,10.3754603056,166.72901292,57.358427719,106.96417405,37.48433314,35.118937719,0.0003550821,,1,3,1,no affiliation,large,421,1,1,0
645,8896,10274,19815,100063,3,Yes,N,N,1.3033,0.31047,1,1,6027,2757,18846,41,54,312,not-for-profit,Morton Plant North Bay Hospital,122,54.11,76,1.16,45.33,1.82,3.83,8.73,21.28,6.45,14.83,44.68,15.66,2.089901975385,9.815255354973,185.57350279,70.044013598,113.1091497,41.822109169,36.065919882,0.002175528,0,2,0,3,no affiliation,medium,226,1,1,0
669,9965,10169,20803,100067,2,Yes,N,N,1.4805,0.2802,1,1,11265,2414,31595,0,62,345,not-for-profit,St. Anthony's Hospital,139,48.45,76,1.09,44.21,6.67,2.74,14.1,19.44,7.91,14.62,49.46,15.51,3.087530080462,15.4769957019,252.25693644,91.962998204,158.44423764,63.038102159,46.033561305,0,0,2,1,0,no affiliation,medium,395,1,1,0
622,11360,9735,21719,100068,4,Yes,N,N,1.7819,0.18556,1,0,9393,1943,28579,57,38,188,not-for-profit,Florida Hospital Memorial Medical Center,131,45.49,75,0.97,46.46,5.18,2.58,7.66,15.78,4.92,12.71,63.7,15.09,1.880283781866,13.27925218584,185.91440871,69.752352585,114.00826355,40.897339095,37.381244571,0.0019944715,0,1,3,3,no affiliation,medium,396,1,1,0
472,15391,9327,25188,100069,3,Yes,N,Y,1.946,0.23525,1,0,2546,572,9511,1,55,295,not-for-profit,Florida Hospital Carrollwood,141,50.63,75,1.08,43.81,7.32,10.91,13.6,18.87,6.56,14.93,43.95,13.31,1.953364622605,11.57508273865,196.80894437,67.712306912,126.67751896,52.531840345,36.35640914,0.0001051414,0,1,3,1,limited/graduate,medium,120,1,1,1
616,11135,9270,21022,100070,3,No,N,N,1.76201,0.05562,1,0,5806,256,17237,5,,,for-profit,Venice Regional Bayfront Health,137,25.62,76,0.95,45.02,1.65,1.96,5.63,15.03,5.26,12.59,64.39,18.79,1.64200769634,8.881768079125,194.70435175,57.31207098,134.54268709,47.603309983,46.629594779,0.0002900737,0,0,3,1,no affiliation,medium,312,1,1,0
617,8521,9567,18704,100071,2,Yes,N,N,1.406,0.31785,,,3376,1533,13558,4,,,not-for-profit,Bayfront Health Brooksville,122,54.11,76,1.16,45.33,1.82,3.83,8.73,21.28,6.45,14.83,44.68,15.66,2.089901975385,9.815255354973,185.57350279,70.044013598,113.1091497,41.822109169,36.065919882,0.0002950288,,2,1,1,no affiliation,medium,244,1,1,0
628,10083,10370,21080,100072,3,Yes,N,N,1.5053,0.16815,1,0,5823,920,17743,19,,,not-for-profit,Florida Hospital Fish Memorial,130,41.13,76,1.05,44.78,6.04,6.26,9.46,18.58,5.84,13.05,56.29,15.37,2.013961627497,14.02018296882,178.47190163,62.035084946,114.09560203,43.2672122,36.643802814,0.0010708448,,0,1,2,no affiliation,medium,175,1,1,0
425,7602,6238,22919,100073,2,Yes,Y,Y,1.85641,0.10861,1,1,10234,1097,29871,163,228,691,not-for-profit,Holy Cross Hospital,118,43.97,77,1.08,43.99,5.67,5.09,8.95,18.16,5.93,15.75,60.69,14.73,1.857685699128,9.941200859961,212.70744202,67.531492832,142.54998992,54.517433129,46.13692531,0.0054567976,0,0,3,3,no affiliation,large,559,1,1,0
542,8077,7800,21606,100075,3,Yes,N,N,1.61781,0.47608,0,1,19756,14791,93152,0,580,1201,not-for-profit,St. Joseph's Hospital,141,50.63,75,1.08,43.81,7.32,10.91,13.6,18.87,6.56,14.93,43.95,13.31,1.953364622605,11.57508273865,196.80894437,67.712306912,126.67751896,52.531840345,36.35640914,0,0,3,2,0,no affiliation,large,1006,1,1,0
681,11236,8851,20769,100077,2,No,N,N,1.7176,0.24512,0,0,6089,1383,16077,6,,,for-profit,Bayfront Health Port Charlotte,119,30.12,75,0.95,46.93,2.28,4.42,7.13,16.4,4.83,11.95,52.83,21.81,1.773822325005,11.12198957452,175.39916467,56.018857164,116.88910312,42.334678005,39.991594643,0.000373204,,1,3,1,no affiliation,medium,254,1,1,0
666,10672,11714,20722,100080,2,Yes,N,Y,1.64981,0.2672,,,12170,6647,46444,11,,,for-profit,JFK Medical Center,118,43.97,77,1.08,43.99,5.67,5.09,8.95,18.16,5.93,15.75,60.69,14.73,1.857685699128,9.941200859961,212.70744202,67.531492832,142.54998992,54.517433129,46.13692531,0.0002368444,,2,2,1,no affiliation,large,460,1,1,0
532,6498,8965,15992,100081,4,No,N,N,1.0664,0.2384,0,0,505,109,2487,1,,,for-profit,Healthmark Regional Medical Center,134,23.86,75,0.99,44.94,7.37,1.5,9.69,18.38,5.73,11.51,72.05,16.12,2.525021304667,12.15900103969,212.10058512,71.653057535,138.02246356,47.341649615,50.720172158,0.0004020909,,1,0,1,no affiliation,small,50,0,0,0
707,11466,8519,20691,100084,2,Yes,N,N,1.71351,0.21623,1,0,10662,2173,25325,7,79,356,not-for-profit,Leesburg Regional Medical Center,130,41.13,76,1.05,44.78,6.04,6.26,9.46,18.58,5.84,13.05,56.29,15.37,2.013961627497,14.02018296882,178.47190163,62.035084946,114.09560203,43.2672122,36.643802814,0.0002764067,1,1,2,1,no affiliation,medium,316,1,1,0
646,10748,10394,21789,100086,2,Yes,N,Y,1.7108,0.26408,0,0,6840,1874,21699,11,78,431,public,Broward Health North,118,43.97,77,1.08,43.99,5.67,5.09,8.95,18.16,5.93,15.75,60.69,14.73,1.857685699128,9.941200859961,212.70744202,67.531492832,142.54998992,54.517433129,46.13692531,0.0005069358,0,2,2,1,no affiliation,large,409,1,1,0
715,12881,10017,23614,100087,5,Yes,N,Y,1.81182,0.23186,0,1,15060,3867,51218,86,225,753,public,Sarasota Memorial Health Care System,137,25.62,76,0.95,45.02,1.65,1.96,5.63,15.03,5.26,12.59,64.39,18.79,1.64200769634,8.881768079125,194.70435175,57.31207098,134.54268709,47.603309983,46.629594779,0.0016790972,0,1,3,2,limited/graduate,large,819,1,1,1
809,10859,10003,21157,100088,3,Yes,N,Y,1.68291,0.2955,1,0,18946,9835,86356,11,358,1682,not-for-profit,Baptist Medical Center Jacksonville,123,29.36,75,1,44.42,10.64,2.5,10.65,18.54,6,11.32,66.12,13.58,2.261895867356,13.87211512472,210.44576553,70.924643538,137.0976521,59.344750728,39.422964349,0.0001273797,0,2,2,1,no affiliation,large,901,1,1,0
582,11090,8124,19797,100090,3,Yes,N,Y,1.6399,0.17647,0,0,6344,3286,26129,40,,,not-for-profit,Flagler Hospital,123,29.36,75,1,44.42,10.64,2.5,10.65,18.54,6,11.32,66.12,13.58,2.261895867356,13.87211512472,210.44576553,70.924643538,137.0976521,59.344750728,39.422964349,0.0015308661,,1,2,2,no affiliation,medium,335,1,1,0
626,9765,8893,19286,100092,2,Yes,N,N,1.536,0.22508,0,0,6167,2235,21722,7,,,not-for-profit,Wuesthoff Medical Center - Rockledge,130,41.13,76,1.05,44.78,6.04,6.26,9.46,18.58,5.84,13.05,56.29,15.37,2.013961627497,14.02018296882,178.47190163,62.035084946,114.09560203,43.2672122,36.643802814,0.0003222539,,1,2,1,no affiliation,medium,298,1,1,0
715,11971,8597,21281,100093,3,Yes,N,N,1.82891,0.24415,0,0,7744,3139,36815,0,90,326,not-for-profit,Baptist Hospital,134,23.86,75,0.99,44.94,7.37,1.5,9.69,18.38,5.73,11.51,72.05,16.12,2.525021304667,12.15900103969,212.10058512,71.653057535,138.02246356,47.341649615,50.720172158,0,1,1,3,0,no affiliation,large,569,1,1,0
611,7752,9166,17529,100099,2,Yes,N,N,1.249,0.21152,0,0,3324,463,8210,4,,,for-profit,Lake Wales Medical Center,130,41.13,76,1.05,44.78,6.04,6.26,9.46,18.58,5.84,13.05,56.29,15.37,2.013961627497,14.02018296882,178.47190163,62.035084946,114.09560203,43.2672122,36.643802814,0.0004872107,,1,0,1,no affiliation,medium,160,1,1,0
595,7938,7848,16381,100102,3,No,N,N,1.1347,0.42427,,,2648,627,10462,7,,,not-for-profit,Shands Lake Shore Regional Medical Center,120,23.81,75,0.99,44.97,8.96,2.25,15.43,19.19,6.11,12.56,51.95,11.26,1.791728215394,12.62918521604,200.67993548,74.641493275,123.8159296,47.862190101,33.661532857,0.0006690881,,3,0,2,no affiliation,small,99,0,1,0
694,11131,10339,22166,100105,2,Yes,Y,N,1.64901,0.19581,0,0,8471,1914,25890,67,77,306,public,Indian River Medical Center,130,41.13,76,1.05,44.78,6.04,6.26,9.46,18.58,5.84,13.05,56.29,15.37,2.013961627497,14.02018296882,178.47190163,62.035084946,114.09560203,43.2672122,36.643802814,0.0025878718,0,1,2,3,no affiliation,medium,339,1,1,0
601,7114,6853,14570,100106,2,Yes,N,N,1.2393,0.29495,1,0,447,96,4181,6,,,not-for-profit,Doctor's Memorial Hospital,140,38.94,75,0.99,43.9,17.83,1.22,17.35,17.94,5.4,9.39,61.34,11.8,2.363684591139,15.71916819655,155.61650572,59.146292469,94.273646022,32.607550963,32.326124301,0.0014350634,,2,0,2,no affiliation,small,48,0,0,0
547,8515,9482,18544,100107,2,Yes,N,N,1.4727,0.26171,,,1900,450,7509,5,,,not-for-profit,Lehigh Regional Medical Center,119,30.12,75,0.95,46.93,2.28,4.42,7.13,16.4,4.83,11.95,52.83,21.81,1.773822325005,11.12198957452,175.39916467,56.018857164,116.88910312,42.334678005,39.991594643,0.0006658676,,2,1,2,no affiliation,small,88,1,1,0
646,10039,9322,20008,100109,3,Yes,N,N,1.4801,0.20843,1,0,7181,1425,20351,32,33,41,not-for-profit,Florida Hospital Heartland Medical Center,130,41.13,76,1.05,44.78,6.04,6.26,9.46,18.58,5.84,13.05,56.29,15.37,2.013961627497,14.02018296882,178.47190163,62.035084946,114.09560203,43.2672122,36.643802814,0.0015724043,0,1,1,2,major teaching,medium,197,0,1,1
672,10051,9013,19738,100110,2,Yes,N,N,1.5723,0.37714,,,7611,4157,29046,7,,,for-profit,Osceola Regional Medical Center,130,41.13,76,1.05,44.78,6.04,6.26,9.46,18.58,5.84,13.05,56.29,15.37,2.013961627497,14.02018296882,178.47190163,62.035084946,114.09560203,43.2672122,36.643802814,0.000240997,,3,2,1,no affiliation,medium,257,1,1,0
885,13233,9365,23484,100113,2,Yes,Y,Y,2.13352,0.42991,0,1,17583,12559,71062,5,115,861,not-for-profit,UF Health Shands Hospital,120,23.81,75,0.99,44.97,8.96,2.25,15.43,19.19,6.11,12.56,51.95,11.26,1.791728215394,12.62918521604,200.67993548,74.641493275,123.8159296,47.862190101,33.661532857,0.0000703611,0,3,3,1,major teaching,large,996,1,1,1
809,10859,10003,18741,100117,4,Yes,N,Y,1.4104,0.14704,1,0,4203,1158,15649,0,63,495,not-for-profit,Baptist Medical Center Beaches,123,29.36,75,1,44.42,10.64,2.5,10.65,18.54,6,11.32,66.12,13.58,2.261895867356,13.87211512472,210.44576553,70.924643538,137.0976521,59.344750728,39.422964349,0,0,0,1,0,no affiliation,medium,146,1,1,0
611,9235,8716,18561,100118,3,Yes,Y,Y,1.4773,0.07636,1,0,5618,591,17461,32,17,135,not-for-profit,Florida Hospital-Flagler,131,45.49,75,0.97,46.46,5.18,2.58,7.66,15.78,4.92,12.71,63.7,15.09,1.880283781866,13.27925218584,185.91440871,69.752352585,114.00826355,40.897339095,37.381244571,0.0018326556,0,0,1,3,no affiliation,small,99,0,1,0
498,10066,7767,18333,100121,3,Yes,N,N,1.4601,0.24204,1,1,1816,336,6379,0,40,172,for-profit,Bartow Regional Medical Center,124,50.61,76,1.05,44.34,6.26,4.34,11.2,21.27,6.93,13.92,36.45,16.93,2.216398089862,12.31760952249,162.46163139,61.000758798,99.119819725,37.883418111,30.544903254,0,1,1,1,0,no affiliation,small,72,1,1,0
657,8730,8250,17636,100122,3,Yes,N,N,1.2794,0.26042,1,0,2926,644,12006,5,,,not-for-profit,North Okaloosa Medical Center,134,23.86,75,0.99,44.94,7.37,1.5,9.69,18.38,5.73,11.51,72.05,16.12,2.525021304667,12.15900103969,212.10058512,71.653057535,138.02246356,47.341649615,50.720172158,0.0004164584,,2,0,1,no affiliation,medium,110,1,1,0
611,8355,7675,16642,100124,3,No,N,Y,1.327,0.32683,0,0,1682,694,9464,6,,,for-profit,Santa Rosa Medical Center,134,23.86,75,0.99,44.94,7.37,1.5,9.69,18.38,5.73,11.51,72.05,16.12,2.525021304667,12.15900103969,212.10058512,71.653057535,138.02246356,47.341649615,50.720172158,0.0006339814,,2,0,2,no affiliation,medium,129,1,1,0
777,9279,10592,20649,100125,3,Yes,Y,Y,1.5084,0.64184,0,0,3447,3889,21330,2,28,353,not-for-profit,Homestead Hospital,127,66.43,76,1.25,41.75,8.45,44.36,38.93,19.13,5.17,22.94,56.08,9.4,2.407366508123,13.25445406267,202.36641528,72.992514631,126.94869111,48.406064629,37.176364572,0.0000937647,0,3,1,1,no affiliation,medium,142,1,1,0
560,10013,10282,20854,100126,2,Yes,N,N,1.5013,0.06718,1,0,3503,219,8234,5,,,for-profit,Palms of Pasadena Hospital,139,48.45,76,1.09,44.21,6.67,2.74,14.1,19.44,7.91,14.62,49.46,15.51,3.087530080462,15.4769957019,252.25693644,91.962998204,158.44423764,63.038102159,46.033561305,0.0006072383,,0,1,2,no affiliation,medium,307,1,1,0
687,11866,10238,22791,100127,3,Yes,N,N,1.80601,0.23574,1,1,14473,3019,43929,0,160,576,not-for-profit,Morton Plant Hospital,116,49.92,77,1.1,43.06,1.86,2.57,9.49,18.9,7.77,16.17,48.44,17.04,1.843638099919,8.843052709126,185.33317907,65.114489166,117.61818436,48.08974846,35.144798083,0,0,1,3,0,limited/graduate,large,687,1,1,1
755,13765,9324,23843,100128,2,Yes,Y,Y,2.14422,0.41828,1,1,14774,12325,69241,66,304,1179,not-for-profit,Tampa General Hospital,141,50.63,75,1.08,43.81,7.32,10.91,13.6,18.87,6.56,14.93,43.95,13.31,1.953364622605,11.57508273865,196.80894437,67.712306912,126.67751896,52.531840345,36.35640914,0.0009531925,0,3,3,2,major teaching,large,1018,1,1,1
635,8035,8685,17354,100130,3,No,N,N,1.4193,0.53498,0,0,733,994,4481,7,,,public,Lakeside Medical Center,118,43.97,77,1.08,43.99,5.67,5.09,8.95,18.16,5.93,15.75,60.69,14.73,1.857685699128,9.941200859961,212.70744202,67.531492832,142.54998992,54.517433129,46.13692531,0.0015621513,,3,1,2,no affiliation,small,70,1,1,0
656,9905,10531,21092,100131,3,Yes,N,Y,1.50331,0.27495,,,8260,4511,31521,8,,,not-for-profit,Aventura Hospital and Medical Center,127,66.43,76,1.25,41.75,8.45,44.36,38.93,19.13,5.17,22.94,56.08,9.4,2.407366508123,13.25445406267,202.36641528,72.992514631,126.94869111,48.406064629,37.176364572,0.0002537991,,2,1,1,no affiliation,large,407,1,1,0
627,9539,9499,19666,100132,3,Yes,N,N,1.4602,0.31135,1,1,3524,1233,13924,0,84,243,not-for-profit,South Florida Baptist Hospital,124,50.61,76,1.05,44.34,6.26,4.34,11.2,21.27,6.93,13.92,36.45,16.93,2.216398089862,12.31760952249,162.46163139,61.000758798,99.119819725,37.883418111,30.544903254,0,0,2,1,0,no affiliation,medium,147,1,1,0
839,10974,9392,21207,100135,3,Yes,N,Y,1.71831,0.30111,0,0,11326,6179,54965,125,239,570,not-for-profit,Tallahassee Memorial HealthCare,140,38.94,75,0.99,43.9,17.83,1.22,17.35,17.94,5.4,9.39,61.34,11.8,2.363684591139,15.71916819655,155.61650572,59.146292469,94.273646022,32.607550963,32.326124301,0.0022741745,0,2,3,3,no affiliation,large,772,1,1,0
571,9938,7695,18205,100137,2,No,N,N,1.5017,0.32838,1,0,4975,1619,16079,8,,,for-profit,Heart of Florida Regional Medical Center,130,41.13,76,1.05,44.78,6.04,6.26,9.46,18.58,5.84,13.05,56.29,15.37,2.013961627497,14.02018296882,178.47190163,62.035084946,114.09560203,43.2672122,36.643802814,0.0004975434,,2,1,1,no affiliation,medium,193,1,1,0
809,10859,10003,15514,100140,3,Yes,N,Y,1.2751,0.21312,0,1,1891,660,10221,10,,,public,Baptist Medical Center Nassau,123,29.36,75,1,44.42,10.64,2.5,10.65,18.54,6,11.32,66.12,13.58,2.261895867356,13.87211512472,210.44576553,70.924643538,137.0976521,59.344750728,39.422964349,0.0009783778,,1,0,2,no affiliation,small,62,1,1,0
521,6653,8258,15431,100142,3,Yes,N,N,1.2609,0.2969,0,0,1601,791,9769,14,16,31,public,Jackson Hospital,002,17,75,0.99,43.06,15.29,0.72,18.77,18.7,5.56,12.68,69.51,14.32,3.000052658259,16.6972736977,150.50047033,51.232158476,97.175523054,30.214979655,38.287595748,0.0014331047,0,2,0,2,no affiliation,medium,100,0,1,0
543,7835,7513,15890,100150,1,Yes,N,N,1.2525,0.24819,,,2704,640,10682,7,,,for-profit,Lower Keys Medical Center,127,66.43,76,1.25,41.75,8.45,44.36,38.93,19.13,5.17,22.94,56.08,9.4,2.407366508123,13.25445406267,202.36641528,72.992514631,126.94869111,48.406064629,37.176364572,0.000655308,,1,0,2,no affiliation,medium,167,0,1,0
593,13950,8343,22886,100151,4,Yes,Y,Y,2.15361,0.06121,0,1,5891,2617,24613,477,64,520,not-for-profit,Mayo Clinic Jacksonville,123,29.36,75,1,44.42,10.64,2.5,10.65,18.54,6,11.32,66.12,13.58,2.261895867356,13.87211512472,210.44576553,70.924643538,137.0976521,59.344750728,39.422964349,0.0193800024,0,0,3,3,major teaching,medium,304,1,1,1
